class_id	parent_class_id	pref_name	class_level	protein_class_desc
302	1618.0	AGC protein kinase BARK subfamily	6	enzyme  kinase  protein kinase  agc  grk  bark
303	206.0	AGC protein kinase PKC iota subfamily	6	enzyme  kinase  protein kinase  agc  pkc  iota
304	206.0	AGC protein kinase PKC theta	6	enzyme  kinase  protein kinase  agc  pkc  theta
305	1452.0	Atypical protein kinase PIKK family	5	enzyme  kinase  protein kinase  atypical  pikk
306	1640.0	CMGC protein kinase MAK	6	enzyme  kinase  protein kinase  cmgc  rck  mak
307	1623.0	TKL protein kinase TAK1 subfamily	6	enzyme  kinase  protein kinase  tkl  mlk  tak1
308	158.0	Other protein kinase TTK family	5	enzyme  kinase  protein kinase  other  ttk
310	156.0	Receptor tyrosine-protein phosphatase	5	enzyme  phosphatase  protein phosphatase  tyr  receptor
314	1668.0	AGC protein kinase CRIK subfamily	6	enzyme  kinase  protein kinase  agc  dmpk  crik
315	1668.0	AGC protein kinase ROCK subfamily	6	enzyme  kinase  protein kinase  agc  dmpk  rock
317	206.0	AGC protein kinase PKC alpha subfamily	6	enzyme  kinase  protein kinase  agc  pkc  alpha
318	206.0	AGC protein kinase PKC delta subfamily	6	enzyme  kinase  protein kinase  agc  pkc  delta
320	1452.0	Atypical protein kinase alpha family	5	enzyme  kinase  protein kinase  atypical  alpha
321	210.0	CK1 protein kinase CK1-a	6	enzyme  kinase  protein kinase  ck1  ck1  ck1-a
322	210.0	CK1 protein kinase CK1-g	6	enzyme  kinase  protein kinase  ck1  ck1  ck1-g
323	237.0	CMGC protein kinase CDC2 subfamily	6	enzyme  kinase  protein kinase  cmgc  cdk  cdc2
324	237.0	CMGC protein kinase CDK2	6	enzyme  kinase  protein kinase  cmgc  cdk  cdk2
325	237.0	CMGC protein kinase CDK5 subfamily	6	enzyme  kinase  protein kinase  cmgc  cdk  cdk5
326	237.0	CMGC protein kinase CDK7 subfamily	6	enzyme  kinase  protein kinase  cmgc  cdk  cdk7
327	237.0	CMGC protein kinase CDK8 subfamily	6	enzyme  kinase  protein kinase  cmgc  cdk  cdk8
328	237.0	CMGC protein kinase CDK9 subfamily	6	enzyme  kinase  protein kinase  cmgc  cdk  cdk9
329	249.0	CMGC protein kinase ERK subfamily	6	enzyme  kinase  protein kinase  cmgc  mapk  erk
330	249.0	CMGC protein kinase JNK subfamily	6	enzyme  kinase  protein kinase  cmgc  mapk  jnk
